,ID,datetime,has_media,is_reply,is_retweet,medias,nbr_favorite,nbr_reply,nbr_retweet,text,url,user_id,usernameTweet
145,2.89053E+16,23/1/2011 4:02,,FALSE,FALSE,,0,0,0,http://www.gmdu.net/corp-759213.html #sapura  #industrial  #volvo  #ford   Sapura  Automotive Industries Sdn Bhd,/gmdudot/status/28905252845522944,233957798,gmdudot
146,2.91035E+17,15/1/2013 12:10,,FALSE,FALSE,,0,0,2,# proride  #performance  #springs  #suzuki  #swift  #japan  #car  #sapura  #sapuraindustrial  #local  #brand  #malaysia   http:// instagr.am/p/UfYrO-PBXF/  ,/AJMalaysia/status/291034593056927745,1078948177,AJMalaysia
147,2.91477E+17,16/1/2013 17:29,,FALSE,FALSE,,0,0,3,# proride  #performance  #springs  #suzuki  #swift  #japan  #car  #sapura   #local  #malaysia  #johorbahru  #jb  #joho  #JDT pic.twitter.com/aUKd6tvI,/AJMalaysia/status/291477282864914432,1078948177,AJMalaysia
148,2.92291E+17,18/1/2013 23:23,,FALSE,FALSE,,0,0,0,# tamrindsprings  #Dinner  #Sapura  #SASB  #Team  #Instagram  #Istagram   http:// instagr.am/p/UoUgUHTJm0/  ,/zasya710/status/292291192463454209,401315611,zasya710
149,2.93564E+17,22/1/2013 11:43,,FALSE,FALSE,,0,0,0,My Team!~ #morning  #happy  #working  #sapura  #sapurakencana  #petroleum  #exxon  #mobil #@ SapuraKenca Petroleum  http:// instagr.am/p/UxWquDNDoM/  ,/ak1zakiamani/status/293564473090924544,493345870,ak1zakiamani
150,2.96164E+17,29/1/2013 15:54,,FALSE,FALSE,,0,0,0,"# proride  #mineral  #semisynthetic  #engine  #oil  #10w30  #10w40  #20w50  #sapura  #sapu @Pulai Utama, Johor Bahru.  http:// instagr.am/p/VD1kAKvBSC/  ",/AJMalaysia/status/296164372710039552,1078948177,AJMalaysia
151,2.96424E+17,30/1/2013 9:05,,FALSE,FALSE,,0,0,0,# instapic  #instamood  #instacool  #servicecar  #bmw  #sapura @BMW Premium Selection Kuala Lumpur  http:// instagr.am/p/VFrb_3mraj/  ,/Along_Harimau/status/296423797995741186,478707687,Along_Harimau
152,2.99671E+17,8/2/2013 8:07,,FALSE,FALSE,,0,0,0,Friday! #sapura  #sapuraacergy  #serikembangan  #selangor  #malaysia  #ilovemalaysia  #friday  #morning  #love  @…  http:// instagr.am/p/VcwML7BrN9/  ,/cairelimran/status/299670819230068736,981510806,cairelimran
153,2.99695E+17,8/2/2013 9:42,,FALSE,FALSE,,0,0,0,Selamat Pagi Jumaat!~ #morning  #salam  #jumaat  #insta  #weather  #sapura  #mines  #cloudy  #day  #2013 @…  http:// instagr.am/p/Vc6uFMtDmp/  ,/ak1zakiamani/status/299694630688141312,493345870,ak1zakiamani
154,3.00574E+17,10/2/2013 19:55,,FALSE,FALSE,,0,0,0,@ zarynnmin  @amandamisbun . #sapura &en.bark #uya &iskandar #hanna &adam sweet sgt...,/keaicute/status/300573700506402816,382987030,keaicute
155,3.06031E+17,25/2/2013 21:20,,FALSE,FALSE,,0,1,0,Dah macam keje kilang yang hadap programming zzzz! #newwork  #uniform  #sapura   #ootd   http:// instagr.am/p/WJ77cwk5D_/  ,/ffaamunchy/status/306030833872019457,103222000,ffaamunchy
156,3.09322E+17,6/3/2013 23:17,,FALSE,FALSE,,0,2,1,# proride  #proton  #perdana  #V6  #heavy  #duty  #absorbers  #sapura  #industrial  #group  #of  #company …  http:// instagr.am/p/WhT53GPBd0/  ,/AJMalaysia/status/309321956279324672,1078948177,AJMalaysia
157,3.09348E+17,7/3/2013 1:01,,FALSE,FALSE,,0,1,1,# proride  #performance  #springs  #nissan  #grand  #livina  #sapura  #industrial  #group  #of  #company  #jdmculture …  http:// instagr.am/p/Whgq0evBau/  ,/AJMalaysia/status/309348075812556801,1078948177,AJMalaysia
158,3.09353E+17,7/3/2013 1:21,,TRUE,FALSE,,0,0,1,@ AJMalaysia  #proride  #performance  #springs  #nissan  #grand  #livina  #sapura  #kltu  #klrb  #jbtu  #rtniaga  #tweetniaga   http:// instagr.am/p/Whgq0evBau/  ,/AJMalaysia/status/309353088286859264,1078948177,AJMalaysia
159,3.10364E+17,9/3/2013 20:20,,FALSE,FALSE,,0,0,0,# sister  #wedding  #sapura  #fatty  #lurve   http:// instagr.am/p/WovL8jCnb-/  ,/diandiyana/status/310364441491435521,127128941,diandiyana
160,3.10978E+17,11/3/2013 12:59,,FALSE,FALSE,,0,0,0,Kencang Band! :p #happy  #friends  #forever  #sapura  #sapurakencana  #memory  #single  n #available  #2013  http:// instagr.am/p/WtGMivtDjs/  ,/ak1zakiamani/status/310978379174252544,493345870,ak1zakiamani
161,3.12048E+17,14/3/2013 11:51,,FALSE,FALSE,,0,0,0,selamat menjamu mkn tghari. #sapura  #mines   http:// instagr.am/p/W0s8ppwAon/  ,/azzammazwin/status/312048261055795200,140667536,azzammazwin
162,3.13939E+17,19/3/2013 17:04,,FALSE,FALSE,,0,0,0,# dominospizza  #gifted  #appreciate  #customer  #hrsprings  #proride  #sapura  #gabsuspension …  http:// instagr.am/p/XCINGlR81E/  ,/muhammadafqsaad/status/313938934914768896,756349520,muhammadafqsaad
163,3.14427E+17,21/3/2013 1:24,,FALSE,FALSE,,0,0,0,# proride  #engine  #oilfilters  #oil  #filters  #proton  #perodua  #sapura  #sapuraindustrial  #local  #product …  http:// instagr.am/p/XFmZmHPBZn/  ,/AJMalaysia/status/314427164806246400,1078948177,AJMalaysia
164,3.17467E+17,29/3/2013 10:41,,FALSE,FALSE,,0,1,0,Halamak #Sapura  ke #Proton ..??,/johnkelabu/status/317466618743627776,99950003,johnkelabu
165,3.18537E+17,1/4/2013 9:34,,FALSE,FALSE,,0,0,0,"# Sapura  Resources up 5.5c to 72.5c at 9.29am (1.3m) on special dividend of 6.68c a share, goes ex on April 11. #KLCI  down 3.68pt to 1,667",/biznewsMY/status/318536855681396736,121768000,biznewsMY
166,3.18645E+17,1/4/2013 16:43,,FALSE,FALSE,,0,1,1,# Sapura  Kencana up 6c to RM3.06 at 4.30pm. JV with #Seadrill  is close to bagging multi-billion ringgit contract from #Petrobras,/biznewsMY/status/318644744269987841,121768000,biznewsMY
167,3.1892E+17,2/4/2013 10:56,,FALSE,FALSE,,0,2,0,thanks #sapura  ! <3,/nara_aimi/status/318919731098832897,105715072,nara_aimi
168,3.19295E+17,3/4/2013 11:47,,FALSE,FALSE,,0,0,0,Reaction kami di #sapura  time live streaming @astroawaniforum = tepuk tangan gembira. Jom makan! celebrate kat setiawangsa  #dang  #bubar,/nara_aimi/status/319294965119324160,105715072,nara_aimi
169,3.19335E+17,3/4/2013 14:26,,FALSE,FALSE,,0,0,0,# instashot  #instaphoto  #instapicture  #noedit  #ship  #crane  #sapura  #oil &gas#@ johore port  http:// instagram.com/p/XoeY1pgo7x/  ,/willdanzakuduro/status/319334981753241600,1314625862,willdanzakuduro
170,3.19335E+17,3/4/2013 14:28,,FALSE,FALSE,,0,0,0,# johorport  #ship  #sapura  #crane  #instashot  #instaphoto  #instapicture  #apple  #iphone5 # http:// instagram.com/p/XoermJgo8G/  ,/willdanzakuduro/status/319335482309894145,1314625862,willdanzakuduro
171,3.19792E+17,4/4/2013 20:40,,FALSE,FALSE,,0,0,0,Welcome to Pahang's blue turf #hockey  #fieldhockey  #sapura  #training  #turf  #pahang  #sports @Stadium…  http:// instagram.com/p/XruQIri8eM/  ,/dianasalwa/status/319791621136846848,65132426,dianasalwa
